Counter: 2, GPS precision: 2.0000000000000000, Latitude: 1.3010196999999999, Longitude: 103.7899681999999899, Xcovariance: 5.5886206626892090, Ycovariance: 6.2750597000122070, Zcovariance: 34.4506416320800781
Counter: 3, GPS precision: 2.0000000000000000, Latitude: 1.3010196999999999, Longitude: 103.7899680999999958, Xcovariance: 5.5408439636230469, Ycovariance: 6.2285642623901367, Zcovariance: 34.1540107727050781
Counter: 4, GPS precision: 2.0000000000000000, Latitude: 1.3010195999999998, Longitude: 103.7899681999999899, Xcovariance: 5.4928827285766602, Ycovariance: 6.1809325218200684, Zcovariance: 33.8587226867675781
Counter: 5, GPS precision: 2.0000000000000000, Latitude: 1.3010195999999998, Longitude: 103.7899680000000018, Xcovariance: 5.4430837631225586, Ycovariance: 6.1313652992248535, Zcovariance: 33.5598564147949219
Counter: 6, GPS precision: 2.0000000000000000, Latitude: 1.3010197999999999, Longitude: 103.7899678999999935, Xcovariance: 5.3930649757385254, Ycovariance: 6.0787997245788574, Zcovariance: 33.2599639892578125
Counter: 7, GPS precision: 2.0000000000000000, Latitude: 1.3010197999999999, Longitude: 103.7899677999999994, Xcovariance: 5.3409223556518555, Ycovariance: 6.0206151008605957, Zcovariance: 32.9509315490722656
Counter: 8, GPS precision: 2.0000000000000000, Latitude: 1.3010195999999998, Longitude: 103.7899676999999912, Xcovariance: 5.2892079353332520, Ycovariance: 5.9623904228210449, Zcovariance: 32.6455650329589844
Counter: 9, GPS precision: 2.0000000000000000, Latitude: 1.3010195999999998, Longitude: 103.7899675999999971, Xcovariance: 5.2398691177368164, Ycovariance: 5.9049463272094727, Zcovariance: 32.3463439941406250
Counter: 10, GPS precision: 2.0000000000000000, Latitude: 1.3010195000000000, Longitude: 103.7899676999999912, Xcovariance: 5.1909523010253906, Ycovariance: 5.8475198745727539, Zcovariance: 32.0543441772460938
Counter: 11, GPS precision: 2.0000000000000000, Latitude: 1.3010193999999999, Longitude: 103.7899673999999948, Xcovariance: 5.1430106163024902, Ycovariance: 5.7912921905517578, Zcovariance: 31.7679824829101562
Counter: 12, GPS precision: 2.0000000000000000, Latitude: 1.3010192000000000, Longitude: 103.7899670999999984, Xcovariance: 5.0958080291748047, Ycovariance: 5.7355542182922363, Zcovariance: 31.4864501953125000
Counter: 13, GPS precision: 2.0000000000000000, Latitude: 1.3010189999999999, Longitude: 103.7899671999999924, Xcovariance: 5.0494127273559570, Ycovariance: 5.6803784370422363, Zcovariance: 31.2097053527832031
Counter: 14, GPS precision: 2.0000000000000000, Latitude: 1.3010189999999999, Longitude: 103.7899675999999971, Xcovariance: 5.0050630569458008, Ycovariance: 5.6289005279541016, Zcovariance: 30.9429016113281250
Counter: 15, GPS precision: 2.0000000000000000, Latitude: 1.3010188000000000, Longitude: 103.7899676999999912, Xcovariance: 4.9613409042358398, Ycovariance: 5.5788559913635254, Zcovariance: 30.6804046630859375
Counter: 16, GPS precision: 2.0000000000000000, Latitude: 1.3010184000000000, Longitude: 103.7899676999999912, Xcovariance: 4.9210968017578125, Ycovariance: 5.5296483039855957, Zcovariance: 30.4334068298339844
